,0,1,2,3,4,5,6,7
0,-1.435149,-1.077353,-1.418313,-1.307135,-1.243158,-1.147859,-1.342599,-1.541589
1,-1.338624,-1.147566,-1.469001,-1.356517,-1.156023,-1.229373,-1.306442,-1.575648
2,-1.393169,-1.329345,-1.565882,-1.284314,-0.878089,-1.338063,-1.437165,-1.607317
3,-1.379167,-1.397492,-1.660813,-1.238577,-0.96626,-1.283223,-1.380008,-1.536275
4,-1.347126,-1.300275,-1.543502,-1.232553,-0.950703,-1.354163,-1.324437,-1.585199
5,-1.413863,-1.325767,-1.485486,-1.282495,-1.023145,-1.390722,-1.241772,-1.541444
6,-1.313467,-1.468419,-1.529304,-1.492042,-1.069141,-1.301893,-1.07627,-1.567533
7,-1.205742,-1.301431,-1.533101,-1.47738,-1.024682,-1.360477,-1.307555,-1.491621
8,-1.300918,-1.148972,-1.548426,-1.468687,-0.994385,-1.2743,-1.360892,-1.542777
9,-1.150392,-1.262394,-1.462605,-1.465997,-1.110976,-1.219421,-1.406951,-1.567358
