0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.02635,0.0,0.0,0.0,3.8338,0.0,0.0,0.0,0.0
0.0,0.0,4.95877,0.0,0.0,0.0,3.85363,0.0,0.0,0.0,0.0
2.378,4.88175,1.51681,4.0019,3.04718,2.03496,3.10458,0.0,3.46585,0.0,0.0
0.0,0.0,2.21269,0.0,2.83438,0.0,2.99129,0.0,3.08437,0.0,0.0
2.69143,3.84272,4.33911,2.08553,3.17971,3.40111,3.09718,3.36181,3.12926,0.0,0.0
0.0,0.0,1.10199,0.0,3.50199,0.0,2.79219,0.0,2.80489,0.0,0.0
0.0,0.0,3.25049,4.27246,2.03217,3.59982,2.88696,2.93304,3.16992,3.69507,3.31277
0.0,0.0,3.08382,0.0,4.38754,0.0,3.13297,0.0,0.0,0.0,0.0
2.41698,2.2624,3.3955,3.17599,2.07815,3.05604,3.27233,3.21707,3.35557,0.0,0.0
0.0,0.0,0.0,0.0,3.29135,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.45425,0.0,0.0,0.0,0.0,0.0,0.0
