0,1,2,3,4,5,6
-1.6385494285714284,-1.6104794285714286,-1.7138077142857142,-1.657450142857143,-1.6504340000000002,-1.6887957142857144,-1.6079495714285714
-1.7345264285714286,-1.6351182857142859,-1.726503142857143,-1.7102808571428572,-1.729523,-1.6926091428571428,-1.6647824285714286
-1.732611857142857,-1.6575264285714284,-1.7576887142857143,-1.7238491428571427,-1.6478794285714287,-1.6780047142857144,-1.698627714285714
-1.710961142857143,-1.6468964285714285,-1.7234257142857143,-1.7302672857142858,-1.6333404285714284,-1.6841424285714286,-1.7005197142857145
-1.7047558571428572,-1.6048932857142855,-1.663095714285714,-1.7390322857142857,-1.5481197142857144,-1.6891238571428568,-1.6608402857142859
-1.6857938571428572,-1.571577285714286,-1.6534520000000001,-1.7254097142857143,-1.6006424285714285,-1.7228415714285714,-1.6674109999999998
-1.6927150000000002,-1.574792142857143,-1.648178,-1.7413795714285716,-1.6008277142857144,-1.7470269999999999,-1.6751348571428575
-1.7292834285714282,-1.5589737142857143,-1.7153478571428573,-1.7221784285714288,-1.617246142857143,-1.7211587142857143,-1.6891102857142857
-1.7251921428571428,-1.581031857142857,-1.7533285714285716,-1.6836944285714286,-1.624546142857143,-1.6996007142857146,-1.6765492857142859
-1.7555749999999999,-1.566527285714286,-1.7259957142857143,-1.6711074285714285,-1.6404101428571427,-1.6820692857142856,-1.7045582857142858
