0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.58134,0.0,0.0,0.0,2.18305,0.0,0.0,0.0,0.0
0.0,0.0,0.81627,0.0,0.0,0.0,2.75094,0.0,0.0,0.0,0.0
2.09217,1.01642,2.87691,1.07055,1.80848,1.88943,2.17779,0.0,1.8393,0.0,0.0
0.0,0.0,0.87127,0.0,1.47805,0.0,2.2869,0.0,1.81088,0.0,0.0
1.68421,2.36745,1.39591,1.91152,1.48308,1.86458,1.82833,1.41597,1.36814,0.0,0.0
0.0,0.0,1.91619,0.0,2.85072,0.0,1.91085,0.0,1.70637,0.0,0.0
0.0,0.0,2.08156,1.72322,1.50296,2.14531,2.28729,1.99988,2.77064,2.66185,2.41423
0.0,0.0,2.01887,0.0,1.79891,0.0,1.80347,0.0,0.0,0.0,0.0
1.49722,1.55845,1.6275,1.71028,1.6705,1.96282,1.89438,2.03866,1.70855,0.0,0.0
0.0,0.0,0.0,0.0,1.69838,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.68618,0.0,0.0,0.0,0.0,0.0,0.0
