0,1,2,3,4,5,6,7,8,9,10
0,0,0.592149885,0,0,0,0.470728488,0,0,0,0
0,0,0.260365079,0,0,0,-0.145555159,0,0,0,0
0.15277137,0.229483811,0.910146254,0.591806828,0.637364153,0.187661034,0.348240861,0,0.702020845,0,0
0,0,1.391899785,0,1.496568312,0,0.906276757,0,0.672976926,0,0
0.066603017,0.753035863,1.617644232,1.126386186,2.304126231,2.020363978,1.567663884,0.959578538,0.60304701,0,0
0,0,2.614894076,0,1.742809097,0,1.910576407,0,0.295384167,0,0
0,0,2.382504521,0.578728377,1.921565808,0.99965099,2.584743241,1.594633602,0.839803378,0.274223427,0.038786923
0,0,1.975036659,0,1.452988602,0,0.852328095,0,0,0,0
0.455164918,0.596592735,0.788387629,1.068931643,1.940016205,1.755314431,1.403837034,0.118684505,0.315133258,0,0
0,0,0,0,0.142939893,0,0,0,0,0,0
0,0,0,0,0.595289364,0,0,0,0,0,0
