0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.40184,0.0,0.0,0.0,0.4638,0.0,0.0,0.0,0.0
0.0,0.0,0.6172,0.0,0.0,0.0,0.64494,0.0,0.0,0.0,0.0
0.36815,0.26441,0.3362,0.34791,0.43596,0.63766,0.76416,0.0,0.43027,0.0,0.0
0.0,0.0,0.32651,0.0,0.7445,0.0,0.84861,0.0,0.69534,0.0,0.0
0.45378,0.43297,0.56221,0.65975,0.95076,0.95807,1.41152,1.05573,0.74291,0.0,0.0
0.0,0.0,0.52419,0.0,0.92163,0.0,1.68335,0.0,0.90978,0.0,0.0
0.0,0.0,0.46856,0.57826,0.65231,0.80936,1.31124,1.00179,0.58928,0.72023,0.42749
0.0,0.0,0.62499,0.0,0.49736,0.0,0.74647,0.0,0.0,0.0,0.0
0.27525,0.30125,0.32358,0.33407,0.46877,0.4552,0.61387,0.53479,0.4704,0.0,0.0
0.0,0.0,0.0,0.0,0.40422,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.39736,0.0,0.0,0.0,0.0,0.0,0.0
