0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.2887,0.0,0.0,0.0,2.49483,0.0,0.0,0.0,0.0
0.0,0.0,2.25262,0.0,0.0,0.0,2.36069,0.0,0.0,0.0,0.0
2.24819,2.1595,2.19929,2.31479,2.73429,2.46379,1.8697,0.0,2.11455,0.0,0.0
0.0,0.0,1.98044,0.0,1.64008,0.0,1.51644,0.0,1.9825,0.0,0.0
2.16456,2.09384,1.85041,2.26553,1.88225,1.58731,1.55552,1.76516,1.80132,0.0,0.0
0.0,0.0,2.01206,0.0,2.10548,0.0,1.73926,0.0,1.97526,0.0,0.0
0.0,0.0,2.11458,2.07912,2.03752,1.95579,1.79457,1.96409,2.0894,2.20252,2.28933
0.0,0.0,2.22575,0.0,2.10602,0.0,1.96083,0.0,0.0,0.0,0.0
2.39604,2.33234,2.27196,2.24115,2.13723,2.20764,2.12856,2.23216,2.30034,0.0,0.0
0.0,0.0,0.0,0.0,2.28278,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.37265,0.0,0.0,0.0,0.0,0.0,0.0
