0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.64655,0.0,0.0,0.0,1.6465,0.0,0.0,0.0,0.0
0.0,0.0,1.66366,0.0,0.0,0.0,1.66313,0.0,0.0,0.0,0.0
1.64654,1.66366,1.6918,1.73812,1.81354,1.73577,1.68964,0.0,1.64641,0.0,0.0
0.0,0.0,1.73836,0.0,1.94008,0.0,1.73268,0.0,1.66058,0.0,0.0
1.69192,1.73835,1.81691,1.93504,2.1548,1.93862,1.77069,1.7288,1.67768,0.0,0.0
0.0,0.0,1.94366,0.0,2.50334,0.0,1.91653,0.0,1.73273,0.0,0.0
0.0,0.0,2.16055,2.48942,3.07869,2.49749,2.10229,1.94312,1.81127,1.73838,1.69191
0.0,0.0,2.49059,0.0,4.01751,0.0,2.42122,0.0,0.0,0.0,0.0
2.15045,2.4939,3.05828,4.00257,4.29511,3.65028,3.03601,2.49212,2.15043,0.0,0.0
0.0,0.0,0.0,0.0,4.10628,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.06561,0.0,0.0,0.0,0.0,0.0,0.0
