,0,1,2,3,4,5,6,7,8,9,10
0,0,0,1.55141,0,0,0,1.61437,0,0,0,0
1,0,0,1.33288,0,0,0,1.42397,0,0,0,0
2,1.54953,1.32555,0.51717,0.1,2.44266,1.91291,1.56578,0,1.60849,0,0
3,0,0,0.64666,0,0.59412,0,1.86528,0,1.58587,0,0
4,1.24605,1.55394,1.13395,1.48903,0.48789,2.10541,2.01614,1.36721,1.44832,0,0
5,0,0,0.35126,0,2.19927,0,2.24675,0,0.64344,0,0
6,0,0,0.69592,1.69892,2.00641,0.99386,4.17929,0.39383,2.79601,3.29996,3.94292
7,0,0,1.45875,0,3.0073,0,3.8092,0,0,0,0
8,1.60963,1.59156,1.47915,1.22117,2.04071,1.99359,1.74433,1.49843,1.6033,0,0
9,0,0,0,0,2.09221,0,0,0,0,0,0
10,0,0,0,0,1.14356,0,0,0,0,0,0
