,0,1,2,3,4,5,6,7,8,9,10
0,0,0,1.6396,0,0,0,1.80803,0,0,0,0
1,0,0,1.65714,0,0,0,1.93251,0,0,0,0
2,1.6396,1.65717,1.68726,1.73309,1.79099,1.91825,2.13228,0,1.80818,0,0
3,0,0,1.73265,0,1.93475,0,2.47856,0,1.93478,0,0
4,1.6845,1.72683,1.80386,1.9328,2.14243,2.49076,3.04845,2.48605,2.14357,0,0
5,0,0,1.93523,0,2.4964,0,3.90909,0,2.48624,0,0
6,0,0,2.14301,2.48082,3.04004,3.97852,4.21809,3.69331,3.01274,2.43592,2.09876
7,0,0,1.93465,0,2.46366,0,4.05652,0,0,0,0
8,1.68485,1.73141,1.80818,1.93427,2.13958,2.49285,3.06252,2.48728,2.14341,0,0
9,0,0,0,0,1.92959,0,0,0,0,0,0
10,0,0,0,0,1.80882,0,0,0,0,0,0
