0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.01995,0.0,0.0,0.0,2.40069,0.0,0.0,0.0,0.0
0.0,0.0,2.61705,0.0,0.0,0.0,2.0701,0.0,0.0,0.0,0.0
2.01995,2.61705,2.30276,1.33296,1.73536,2.88123,2.36106,0.0,2.15446,0.0,0.0
0.0,0.0,2.10843,0.0,4.12085,0.0,1.80452,0.0,2.00592,0.0,0.0
2.23353,0.96049,2.09275,3.05973,1.24478,3.50039,1.98208,3.2637,2.90021,0.0,0.0
0.0,0.0,2.36336,0.0,4.02925,0.0,0.93784,0.0,1.67704,0.0,0.0
0.0,0.0,2.48796,1.20047,1.71784,0.48269,1.63919,0.92441,0.49849,0.48969,0.93211
0.0,0.0,2.2119,0.0,2.99628,0.0,2.64261,0.0,0.0,0.0,0.0
0.50655,0.63947,2.16866,2.96521,2.78274,1.95851,3.25704,2.00304,2.47917,0.0,0.0
0.0,0.0,0.0,0.0,2.48698,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.03911,0.0,0.0,0.0,0.0,0.0,0.0
