0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.13871,0.0,0.0,0.0,0.20044,0.0,0.0,0.0,0.0
0.0,0.0,0.14154,0.0,0.0,0.0,0.24674,0.0,0.0,0.0,0.0
0.1376,0.1422,0.1464,0.17587,0.20399,0.25097,0.3268,0.0,0.659,0.0,0.0
0.0,0.0,0.16101,0.0,0.24272,0.0,0.44615,0.0,1.00301,0.0,0.0
0.15258,0.1801,0.18343,0.23798,0.32531,0.44473,0.6855,1.0585,1.56968,0.0,0.0
0.0,0.0,0.24405,0.0,0.46154,0.0,1.04257,0.0,2.14194,0.0,0.0
0.0,0.0,0.3134,0.43959,0.64819,0.98445,1.55521,2.16781,3.07712,2.50535,1.57022
0.0,0.0,0.24173,0.0,0.45481,0.0,0.99835,0.0,0.0,0.0,0.0
0.15499,0.17131,0.19817,0.24782,0.32423,0.44595,0.65504,1.00293,1.57021,0.0,0.0
0.0,0.0,0.0,0.0,0.24675,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.20045,0.0,0.0,0.0,0.0,0.0,0.0
