0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.32816,0.0,0.0,0.0,0.30024,0.0,0.0,0.0,0.0
0.0,0.0,0.38301,0.0,0.0,0.0,0.34248,0.0,0.0,0.0,0.0
0.39108,0.46239,0.40891,0.36407,0.30928,0.30809,0.29931,0.0,0.30688,0.0,0.0
0.0,0.0,0.44057,0.0,0.32795,0.0,0.30838,0.0,0.33498,0.0,0.0
0.50749,0.51031,0.55211,0.43352,0.39343,0.32994,0.34252,0.28846,0.29447,0.0,0.0
0.0,0.0,0.48165,0.0,0.31829,0.0,0.36497,0.0,0.29671,0.0,0.0
0.0,0.0,0.4517,0.38339,0.35097,0.30342,0.32374,0.34207,0.33578,0.33839,0.31442
0.0,0.0,0.43134,0.0,0.33383,0.0,0.30481,0.0,0.0,0.0,0.0
0.3363,0.36752,0.3625,0.33287,0.34074,0.29798,0.33691,0.28623,0.29152,0.0,0.0
0.0,0.0,0.0,0.0,0.33188,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.32204,0.0,0.0,0.0,0.0,0.0,0.0
