0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.63576,0.0,0.0,0.0,1.58713,0.0,0.0,0.0,0.0
0.0,0.0,1.47636,0.0,0.0,0.0,1.53424,0.0,0.0,0.0,0.0
1.57308,1.48313,1.50503,1.56851,1.86651,2.16763,1.35852,0.0,1.59582,0.0,0.0
0.0,0.0,1.606,0.0,1.29834,0.0,2.19514,0.0,1.54982,0.0,0.0
1.52853,1.39773,1.28273,1.29738,1.18249,1.36042,1.66011,1.75379,1.72747,0.0,0.0
0.0,0.0,1.2642,0.0,1.48944,0.0,1.28366,0.0,1.72015,0.0,0.0
0.0,0.0,1.24014,1.31646,1.34449,1.47393,1.3628,1.74045,2.14747,2.19208,1.6032
0.0,0.0,1.38337,0.0,1.51473,0.0,1.57703,0.0,0.0,0.0,0.0
1.57589,1.545,1.44769,1.50675,1.48659,1.55635,1.57058,1.59733,1.61213,0.0,0.0
0.0,0.0,0.0,0.0,1.56644,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.58471,0.0,0.0,0.0,0.0,0.0,0.0
