0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,4.16772,0.0,0.0,0.0,1.81387,0.0,0.0,0.0,0.0
0.0,0.0,3.94026,0.0,0.0,0.0,1.43387,0.0,0.0,0.0,0.0
4.40252,3.70697,1.32204,1.33567,1.23258,0.52024,1.66689,0.0,1.76685,0.0,0.0
0.0,0.0,1.14225,0.0,1.92257,0.0,3.00667,0.0,1.15509,0.0,0.0
3.85498,3.6207,2.43049,1.62852,1.59986,0.70064,2.51471,1.68414,1.90075,0.0,0.0
0.0,0.0,0.64316,0.0,1.94621,0.0,2.184,0.0,2.0156,0.0,0.0
0.0,0.0,3.879,0.41992,1.88411,1.00524,1.23951,2.88526,0.35999,0.90008,1.16737
0.0,0.0,1.71979,0.0,2.67117,0.0,1.8587,0.0,0.0,0.0,0.0
1.8207,1.76572,1.28023,1.33768,0.1,0.46081,1.78295,2.22227,2.31799,0.0,0.0
0.0,0.0,0.0,0.0,1.62769,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.79537,0.0,0.0,0.0,0.0,0.0,0.0
