0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.93293,0.0,0.0,0.0,1.61563,0.0,0.0,0.0,0.0
0.0,0.0,2.17375,0.0,0.0,0.0,1.72874,0.0,0.0,0.0,0.0
2.3806,2.79308,2.64302,2.39634,2.17895,2.0916,2.3145,0.0,1.60515,0.0,0.0
0.0,0.0,2.86709,0.0,2.27882,0.0,2.37283,0.0,1.90204,0.0,0.0
2.25681,0.1,2.2677,1.68759,1.94496,2.3248,2.03305,2.59583,2.30183,0.0,0.0
0.0,0.0,1.312,0.0,2.45964,0.0,2.02954,0.0,2.16555,0.0,0.0
0.0,0.0,1.30057,1.4345,1.95586,2.31165,2.37709,1.42072,2.40492,1.82777,1.52059
0.0,0.0,1.03708,0.0,2.15623,0.0,1.96737,0.0,0.0,0.0,0.0
1.89155,2.305,1.36504,1.02952,0.93776,2.29264,1.05788,1.69382,1.18659,0.0,0.0
0.0,0.0,0.0,0.0,0.31553,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.13181,0.0,0.0,0.0,0.0,0.0,0.0
