,0,1,2,3,4,5,6,7,8,9,10
0,0,0,2.2798,0,0,0,2.23241,0,0,0,0
1,0,0,2.24112,0,0,0,2.59318,0,0,0,0
2,1.99933,1.20232,2.1137,1.30818,1.90173,2.41536,2.22168,0,2.91097,0,0
3,0,0,2.42646,0,1.86975,0,2.47366,0,2.97963,0,0
4,2.94587,3.00592,1.77689,2.28585,2.12522,1.78324,1.39989,2.4616,2.1138,0,0
5,0,0,1.98893,0,2.27981,0,1.88553,0,2.4203,0,0
6,0,0,1.99066,1.88593,1.61191,2.11119,1.31928,2.15151,2.52469,2.78177,3.01907
7,0,0,2.09888,0,2.9819,0,2.11585,0,0,0,0
8,3.07355,2.70792,1.99803,2.65931,2.6691,2.39082,2.67092,2.8421,2.95932,0,0
9,0,0,0,0,2.82793,0,0,0,0,0,0
10,0,0,0,0,2.80051,0,0,0,0,0,0
