0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.41847,0.0,0.0,0.0,1.79187,0.0,0.0,0.0,0.0
0.0,0.0,0.58718,0.0,0.0,0.0,0.9978,0.0,0.0,0.0,0.0
1.43417,1.21206,0.7403,1.26931,1.36234,1.78728,1.6386,0.0,2.27534,0.0,0.0
0.0,0.0,0.39885,0.0,0.46578,0.0,2.22481,0.0,1.73067,0.0,0.0
0.78124,0.50458,0.56686,0.42679,0.61195,1.22917,1.56457,2.19558,2.72641,0.0,0.0
0.0,0.0,0.11785,0.0,1.3244,0.0,1.13325,0.0,3.60006,0.0,0.0
0.0,0.0,0.68913,1.19693,1.33032,2.08488,2.24902,3.34963,4.43825,2.88755,2.93942
0.0,0.0,0.43066,0.0,1.57689,0.0,2.37681,0.0,0.0,0.0,0.0
1.61056,1.62769,1.43567,1.78276,1.68193,1.8572,2.12696,2.41904,3.0376,0.0,0.0
0.0,0.0,0.0,0.0,1.89228,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.89372,0.0,0.0,0.0,0.0,0.0,0.0
