0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.45916,0.0,0.0,0.0,2.27479,0.0,0.0,0.0,0.0
0.0,0.0,2.23873,0.0,0.0,0.0,2.93547,0.0,0.0,0.0,0.0
2.45916,2.23873,2.52766,3.11004,3.05272,2.15603,2.96988,0.0,2.33415,0.0,0.0
0.0,0.0,2.30994,0.0,2.05936,0.0,2.93769,0.0,2.45567,0.0,0.0
2.3815,3.57007,1.85299,1.02614,3.70287,1.301,2.50966,1.73847,1.98351,0.0,0.0
0.0,0.0,2.50283,0.0,1.09964,0.0,1.91116,0.0,2.46862,0.0,0.0
0.0,0.0,2.55644,2.44156,1.95735,1.90582,1.85285,2.80982,2.91511,3.59709,3.45299
0.0,0.0,2.43708,0.0,2.39789,0.0,1.72065,0.0,0.0,0.0,0.0
3.30006,3.29014,2.30372,1.91745,1.95466,2.3983,1.65341,2.16973,2.33493,0.0,0.0
0.0,0.0,0.0,0.0,2.17895,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.42291,0.0,0.0,0.0,0.0,0.0,0.0
