0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.42999,0.0,0.0,0.0,2.19055,0.0,0.0,0.0,0.0
0.0,0.0,1.88048,0.0,0.0,0.0,1.90388,0.0,0.0,0.0,0.0
2.42999,1.88048,2.46263,2.94422,2.66954,2.32012,1.71562,0.0,2.44897,0.0,0.0
0.0,0.0,2.56552,0.0,0.1,0.0,1.56572,0.0,2.43529,0.0,0.0
2.31371,1.9556,2.99046,2.83195,1.77241,1.78276,1.36393,1.64118,1.73088,0.0,0.0
0.0,0.0,2.52551,0.0,1.34118,0.0,3.1395,0.0,3.11574,0.0,0.0
0.0,0.0,2.02261,3.30107,2.98272,3.82199,2.57173,2.49521,2.66758,2.36037,2.63704
0.0,0.0,1.96998,0.0,2.4771,0.0,2.21186,0.0,0.0,0.0,0.0
3.82917,3.59886,2.25509,1.94934,3.39037,4.01996,4.29945,5.27566,2.08387,0.0,0.0
0.0,0.0,0.0,0.0,2.22371,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.4674,0.0,0.0,0.0,0.0,0.0,0.0
