0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.85211,0.0,0.0,0.0,1.85281,0.0,0.0,0.0,0.0
0.0,0.0,2.28596,0.0,0.0,0.0,1.85558,0.0,0.0,0.0,0.0
0.93684,2.21283,0.42163,1.40734,1.47314,0.15391,1.35247,0.0,1.4068,0.0,0.0
0.0,0.0,1.86805,0.0,1.45656,0.0,1.22361,0.0,1.0912,0.0,0.0
1.04539,2.08272,1.12347,1.1921,1.43361,1.67007,1.22269,1.11928,1.00767,0.0,0.0
0.0,0.0,1.69686,0.0,1.38226,0.0,1.33754,0.0,1.04408,0.0,0.0
0.0,0.0,1.44409,1.90963,0.93276,1.34371,1.13369,0.79616,1.06097,1.26756,1.05511
0.0,0.0,1.21516,0.0,1.47802,0.0,1.05236,0.0,0.0,0.0,0.0
0.82468,0.80435,1.504,1.39344,1.39585,0.93732,0.91149,0.98469,1.00135,0.0,0.0
0.0,0.0,0.0,0.0,0.88787,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.90118,0.0,0.0,0.0,0.0,0.0,0.0
