0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.11764,0.0,0.0,0.0,1.21058,0.0,0.0,0.0,0.0
0.0,0.0,0.20576,0.0,0.0,0.0,0.35664,0.0,0.0,0.0,0.0
1.1149,1.04935,0.96731,1.09147,1.1426,1.23571,1.19417,0.0,1.2137,0.0,0.0
0.0,0.0,0.85452,0.0,0.28237,0.0,1.23005,0.0,0.3691,0.0,0.0
0.97814,0.82145,0.7243,0.89653,1.07031,1.35586,1.2468,1.24963,1.2258,0.0,0.0
0.0,0.0,0.58483,0.0,1.09443,0.0,0.60019,0.0,1.25924,0.0,0.0
0.0,0.0,0.79784,1.17231,1.48692,1.70974,1.63941,1.42684,1.36058,0.46414,1.27284
0.0,0.0,0.1,0.0,1.38051,0.0,1.5954,0.0,0.0,0.0,0.0
1.13726,1.09818,1.05499,1.197,1.37943,1.60133,1.66432,1.42615,1.2708,0.0,0.0
0.0,0.0,0.0,0.0,1.2722,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2441,0.0,0.0,0.0,0.0,0.0,0.0
