0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.09522,0.0,0.0,0.0,1.14126,0.0,0.0,0.0,0.0
0.0,0.0,1.29223,0.0,0.0,0.0,1.17087,0.0,0.0,0.0,0.0
1.08299,1.09024,0.63493,1.0937,1.49524,1.3031,1.50669,0.0,1.51112,0.0,0.0
0.0,0.0,1.46875,0.0,2.17765,0.0,1.9067,0.0,1.95541,0.0,0.0
1.24701,1.09917,1.44819,1.912,2.57502,2.87609,2.57849,2.09848,1.87668,0.0,0.0
0.0,0.0,2.08721,0.0,3.0313,0.0,2.75644,0.0,2.09979,0.0,0.0
0.0,0.0,2.61304,2.88478,3.33772,3.24772,3.59629,2.8887,1.45227,1.27674,1.72719
0.0,0.0,2.04072,0.0,2.92781,0.0,2.71679,0.0,0.0,0.0,0.0
1.32287,1.40601,1.68469,1.99471,2.44471,2.85622,2.51966,2.30173,1.94207,0.0,0.0
0.0,0.0,0.0,0.0,1.88612,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.6267,0.0,0.0,0.0,0.0,0.0,0.0
