0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.30968,0.0,0.0,0.0,0.30601,0.0,0.0,0.0,0.0
0.0,0.0,0.43469,0.0,0.0,0.0,0.42795,0.0,0.0,0.0,0.0
0.30967,0.43471,0.63135,0.99503,1.5501,1.00962,0.63242,0.0,0.30982,0.0,0.0
0.0,0.0,0.972,0.0,2.50063,0.0,0.94127,0.0,0.43554,0.0,0.0
0.643,0.98413,1.54775,2.54488,2.10534,2.47613,1.43989,0.9629,0.63936,0.0,0.0
0.0,0.0,0.99458,0.0,2.5808,0.0,0.98061,0.0,0.43467,0.0,0.0
0.0,0.0,0.6474,0.96944,1.52306,0.9609,0.61766,0.42434,0.30728,0.2328,0.18659
0.0,0.0,0.4349,0.0,0.97327,0.0,0.42589,0.0,0.0,0.0,0.0
0.18667,0.23331,0.31017,0.43646,0.64295,0.43531,0.30606,0.23265,0.18657,0.0,0.0
0.0,0.0,0.0,0.0,0.43639,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.30998,0.0,0.0,0.0,0.0,0.0,0.0
