0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.57663,0.0,0.0,0.0,0.66539,0.0,0.0,0.0,0.0
0.0,0.0,0.55308,0.0,0.0,0.0,0.69272,0.0,0.0,0.0,0.0
0.57663,0.55308,0.52131,0.61615,0.70217,0.86945,0.74225,0.0,0.66815,0.0,0.0
0.0,0.0,0.4926,0.0,0.7892,0.0,0.8522,0.0,0.71085,0.0,0.0
0.52179,0.4422,0.4216,0.68048,0.8534,1.32953,1.01555,0.88114,0.77592,0.0,0.0
0.0,0.0,0.58633,0.0,1.1739,0.0,1.34374,0.0,0.86964,0.0,0.0
0.0,0.0,0.71558,1.20749,1.84207,1.66652,1.89881,1.3215,1.04334,0.86231,0.76951
0.0,0.0,0.67407,0.0,1.30994,0.0,1.44659,0.0,0.0,0.0,0.0
0.62063,0.6296,0.65389,0.82865,1.071,1.43131,1.23067,0.96316,0.78342,0.0,0.0
0.0,0.0,0.0,0.0,0.87392,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.77048,0.0,0.0,0.0,0.0,0.0,0.0
