0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,2.05567,0.0,0.0,0.0,1.58595,0.0,0.0,0.0,0.0
0.0,0.0,1.49706,0.0,0.0,0.0,2.44699,0.0,0.0,0.0,0.0
1.3263,2.14301,1.9324,0.92188,1.03823,1.74516,0.88244,0.0,2.09245,0.0,0.0
0.0,0.0,0.97922,0.0,0.81667,0.0,1.5285,0.0,1.9696,0.0,0.0
2.49144,2.36333,1.48014,1.12395,1.08652,0.11522,1.3809,1.85052,1.77255,0.0,0.0
0.0,0.0,1.08834,0.0,0.75049,0.0,1.16332,0.0,1.41894,0.0,0.0
0.0,0.0,2.67176,0.34948,2.28141,0.82462,2.19448,1.37225,1.63678,1.48851,2.00114
0.0,0.0,0.76206,0.0,0.95464,0.0,1.57559,0.0,0.0,0.0,0.0
1.75401,1.59097,1.71139,1.77124,1.51019,1.31035,1.48762,2.25555,2.42131,0.0,0.0
0.0,0.0,0.0,0.0,1.53566,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.61288,0.0,0.0,0.0,0.0,0.0,0.0
