,0,1,2,3,4,5,6,7,8,9,10
0,0,0,0.67161,0,0,0,0.39309,0,0,0,0
1,0,0,0.88036,0,0,0,0.41592,0,0,0,0
2,0.67159,0.88035,1.20612,0.86069,0.65228,0.5474,0.47952,0,0.39456,0,0
3,0,0,1.78894,0,0.87298,0,0.5761,0,0.42579,0,0
4,1.22029,1.79017,2.76393,1.81049,1.19535,0.90167,0.72533,0.56296,0.48893,0,0
5,0,0,2.82066,0,1.80139,0,0.88478,0,0.56427,0,0
6,0,0,2.75795,1.80678,1.26119,0.90233,0.71556,0.59847,0.51849,0.42176,0.38551
7,0,0,1.79613,0,0.88677,0,0.47426,0,0,0,0
8,0.6718,0.88268,1.22589,0.88315,0.6493,0.472,0.24035,0.32546,0.387,0,0
9,0,0,0,0,0.5501,0,0,0,0,0,0
10,0,0,0,0,0.46855,0,0,0,0,0,0
