,0,1,2,3,4,5,6
0,-1.209519,-1.202131,-1.192245,-1.017282,-0.983647,-0.865212,-1.237202
1,-1.096765,-1.162878,-1.271442,-1.035433,-1.005915,-1.011638,-1.227678
2,-1.110883,-1.147739,-0.94676,-0.914096,-1.098173,-1.177163,-1.105001
3,-1.271458,-1.34445,-1.013303,-0.943202,-1.088747,-1.124357,-1.292727
4,-1.087332,-1.161317,-1.046712,-1.103158,-0.832157,-1.123738,-1.139455
5,-1.17904,-1.073085,-1.159671,-1.271659,-1.097268,-1.161039,-1.147717
6,-1.114294,-1.196084,-1.268561,-1.191479,-1.195221,-1.130045,-0.971717
7,-1.221556,-1.172183,-0.958182,-1.078353,-1.191341,-1.309586,-0.99575
8,-1.126559,-1.165896,-0.752878,-1.03298,-1.200457,-1.018699,-1.105646
9,-1.120974,-1.208229,-0.982253,-0.884295,-1.084412,-0.987967,-1.201816
