,0,1,2,3,4,5,6
0,-1.139298,-1.089793,-1.162684,-0.912124,-0.94668,-0.806271,-1.19239
1,-1.035534,-1.037697,-1.192807,-0.96807,-0.935731,-0.964862,-1.202492
2,-1.04364,-1.012271,-0.918127,-0.873653,-0.955623,-1.124493,-1.008346
3,-1.196858,-1.196598,-0.966319,-0.858605,-1.028238,-1.077809,-1.257284
4,-1.00623,-1.062772,-1.007246,-1.005323,-0.881037,-1.090285,-1.109859
5,-1.10491,-0.955569,-1.047814,-1.224687,-1.051485,-1.144687,-1.103585
6,-1.093209,-1.138675,-1.141903,-1.148865,-1.164767,-1.031112,-0.941643
7,-1.139457,-1.130618,-0.894656,-1.014824,-1.165304,-1.172745,-0.944522
8,-1.034472,-1.114617,-0.684015,-0.972791,-1.175052,-0.954727,-1.034402
9,-1.085405,-1.169149,-0.955511,-0.823628,-1.009012,-0.960129,-1.064082
