,0,1,2,3,4,5,6
0,-1.607746,-1.549376,-1.560421,-1.509315,-1.390205,-1.245134,-1.501042
1,-1.565905,-1.53038,-1.509577,-1.516052,-1.42859,-1.4275,-1.537955
2,-1.550714,-1.528607,-1.378057,-1.536132,-1.423404,-1.46073,-1.501511
3,-1.59083,-1.596521,-1.388724,-1.629481,-1.355724,-1.381029,-1.550804
4,-1.542452,-1.500041,-1.408941,-1.604079,-1.351849,-1.471116,-1.514794
5,-1.521635,-1.436502,-1.463387,-1.616777,-1.462976,-1.553292,-1.529367
6,-1.433998,-1.515815,-1.537418,-1.599986,-1.511876,-1.510026,-1.409404
7,-1.569435,-1.507124,-1.322769,-1.465856,-1.491404,-1.603462,-1.402714
8,-1.634188,-1.535917,-1.16608,-1.463766,-1.425998,-1.442632,-1.44771
9,-1.571083,-1.458832,-1.287904,-1.482351,-1.35398,-1.390566,-1.517373
