0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,0.14975,0.0,0.0,0.0,0.15218,0.0,0.0,0.0,0.0
0.0,0.0,2.10093,0.0,0.0,0.0,2.11435,0.0,0.0,0.0,0.0
0.14525,0.14791,0.12069,0.11884,0.13411,0.14886,0.14736,0.0,0.14969,0.0,0.0
0.0,0.0,0.13736,0.0,2.10561,0.0,0.14309,0.0,2.10878,0.0,0.0
0.14936,0.14527,0.13325,0.15935,0.29572,0.17092,0.15415,0.14569,0.14912,0.0,0.0
0.0,0.0,0.13377,0.0,0.1554,0.0,2.12359,0.0,0.15086,0.0,0.0
0.0,0.0,0.14588,0.14549,0.1,0.12454,0.16563,0.14649,0.15487,2.12081,0.15611
0.0,0.0,2.10156,0.0,0.13541,0.0,0.16161,0.0,0.0,0.0,0.0
0.14897,0.14479,0.13532,0.13889,0.13647,0.14644,0.14823,0.14969,0.14979,0.0,0.0
0.0,0.0,0.0,0.0,0.14775,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.14949,0.0,0.0,0.0,0.0,0.0,0.0
