0,1,2,3,4,5,6,7,8,9,10
0.0,0.0,1.77303,0.0,0.0,0.0,1.73115,0.0,0.0,0.0,0.0
0.0,0.0,1.46589,0.0,0.0,0.0,1.67995,0.0,0.0,0.0,0.0
1.61768,1.8049,2.10107,1.70882,1.67996,1.51274,1.81007,0.0,1.84977,0.0,0.0
0.0,0.0,1.58213,0.0,1.36727,0.0,1.70824,0.0,1.95158,0.0,0.0
1.84125,2.20075,1.65757,1.37762,2.20369,1.35424,1.71866,1.59081,1.87245,0.0,0.0
0.0,0.0,1.81874,0.0,1.19123,0.0,1.10761,0.0,1.32502,0.0,0.0
0.0,0.0,1.9232,1.56127,1.40612,0.66032,1.23868,1.21617,2.36412,1.78025,2.03865
0.0,0.0,1.91351,0.0,1.40635,0.0,1.07836,0.0,0.0,0.0,0.0
1.74784,1.61624,1.55796,1.44644,1.31875,1.16588,0.78892,0.89721,1.65626,0.0,0.0
0.0,0.0,0.0,0.0,1.49788,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.60659,0.0,0.0,0.0,0.0,0.0,0.0
